BoxConstraint,BoxConstraint_KernelScale,All,Baseline
0.816023738872404,0.807121661721068,0.777448071216617,0.807121661721068
0.759643916913947,0.72700296735905,0.765578635014837,0.753709198813056
0.762611275964392,0.744807121661721,0.750741839762611,0.750741839762611
0.747774480712166,0.744807121661721,0.744807121661721,0.744807121661721
0.789317507418398,0.71513353115727,0.747774480712166,0.786350148367952
0.756676557863502,0.756676557863502,0.756676557863502,0.756676557863502
0.72700296735905,0.72700296735905,0.72106824925816,0.72700296735905
0.71513353115727,0.718100890207715,0.729970326409496,0.718100890207715
0.747774480712166,0.724035608308605,0.747774480712166,0.744807121661721
0.724035608308605,0.72700296735905,0.747774480712166,0.72700296735905
